Category: All categories

Week,uniswap: (Worldwide)
2019-04-14,<1
2019-04-21,<1
2019-04-28,0
2019-05-05,<1
2019-05-12,<1
2019-05-19,<1
2019-05-26,0
2019-06-02,<1
2019-06-09,<1
2019-06-16,<1
2019-06-23,<1
2019-06-30,<1
2019-07-07,<1
2019-07-14,<1
2019-07-21,<1
2019-07-28,<1
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,<1
2019-09-01,<1
2019-09-08,0
2019-09-15,<1
2019-09-22,0
2019-09-29,0
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,<1
2020-02-02,<1
2020-02-09,1
2020-02-16,1
2020-02-23,<1
2020-03-01,<1
2020-03-08,<1
2020-03-15,<1
2020-03-22,<1
2020-03-29,<1
2020-04-05,<1
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,2
2020-05-24,1
2020-05-31,1
2020-06-07,2
2020-06-14,2
2020-06-21,2
2020-06-28,2
2020-07-05,3
2020-07-12,3
2020-07-19,5
2020-07-26,7
2020-08-02,8
2020-08-09,13
2020-08-16,11
2020-08-23,11
2020-08-30,18
2020-09-06,9
2020-09-13,40
2020-09-20,23
2020-09-27,13
2020-10-04,12
2020-10-11,9
2020-10-18,8
2020-10-25,9
2020-11-01,7
2020-11-08,7
2020-11-15,9
2020-11-22,7
2020-11-29,6
2020-12-06,7
2020-12-13,8
2020-12-20,9
2020-12-27,12
2021-01-03,12
2021-01-10,12
2021-01-17,15
2021-01-24,23
2021-01-31,30
2021-02-07,28
2021-02-14,28
2021-02-21,22
2021-02-28,19
2021-03-07,27
2021-03-14,31
2021-03-21,36
2021-03-28,39
2021-04-04,22
2021-04-11,32
2021-04-18,38
2021-04-25,34
2021-05-02,57
2021-05-09,100
2021-05-16,43
2021-05-23,28
2021-05-30,25
2021-06-06,21
2021-06-13,22
2021-06-20,16
2021-06-27,17
2021-07-04,19
2021-07-11,17
2021-07-18,14
2021-07-25,17
2021-08-01,17
2021-08-08,21
2021-08-15,19
2021-08-22,19
2021-08-29,20
2021-09-05,22
2021-09-12,20
2021-09-19,15
2021-09-26,20
2021-10-03,22
2021-10-10,26
2021-10-17,27
2021-10-24,58
2021-10-31,56
2021-11-07,49
2021-11-14,41
2021-11-21,31
2021-11-28,25
2021-12-05,20
2021-12-12,20
2021-12-19,25
2021-12-26,25
2022-01-02,27
2022-01-09,23
2022-01-16,19
2022-01-23,18
2022-01-30,17
2022-02-06,18
2022-02-13,15
2022-02-20,13
2022-02-27,14
2022-03-06,13
2022-03-13,13
2022-03-20,14
2022-03-27,15
2022-04-03,14
2022-04-10,14
2022-04-17,13
2022-04-24,13
2022-05-01,12
2022-05-08,12
2022-05-15,10
2022-05-22,9
2022-05-29,9
2022-06-05,9
2022-06-12,9
2022-06-19,10
2022-06-26,8
2022-07-03,8
2022-07-10,9
2022-07-17,9
2022-07-24,9
2022-07-31,8
2022-08-07,8
2022-08-14,8
2022-08-21,8
2022-08-28,8
2022-09-04,7
2022-09-11,8
2022-09-18,7
2022-09-25,8
2022-10-02,8
2022-10-09,8
2022-10-16,9
2022-10-23,9
2022-10-30,9
2022-11-06,9
2022-11-13,10
2022-11-20,8
2022-11-27,9
2022-12-04,8
2022-12-11,9
2022-12-18,8
2022-12-25,6
2023-01-01,7
2023-01-08,8
2023-01-15,9
2023-01-22,8
2023-01-29,10
2023-02-05,10
2023-02-12,10
2023-02-19,10
2023-02-26,9
2023-03-05,9
2023-03-12,9
2023-03-19,12
2023-03-26,10
2023-04-02,11
2023-04-09,10
2023-04-16,15
2023-04-23,12
2023-04-30,22
2023-05-07,19
2023-05-14,14
2023-05-21,13
2023-05-28,11
2023-06-04,9
2023-06-11,10
2023-06-18,9
2023-06-25,9
2023-07-02,10
2023-07-09,10
2023-07-16,10
2023-07-23,10
2023-07-30,10
2023-08-06,10
2023-08-13,10
2023-08-20,10
2023-08-27,8
2023-09-03,8
2023-09-10,6
2023-09-17,6
2023-09-24,7
2023-10-01,7
2023-10-08,6
2023-10-15,7
2023-10-22,9
2023-10-29,9
2023-11-05,10
2023-11-12,10
2023-11-19,11
2023-11-26,10
2023-12-03,13
2023-12-10,14
2023-12-17,13
2023-12-24,13
2023-12-31,12
2024-01-07,12
2024-01-14,12
2024-01-21,11
2024-01-28,11
2024-02-04,12
2024-02-11,12
2024-02-18,18
2024-02-25,20
2024-03-03,30
2024-03-10,21
2024-03-17,19
2024-03-24,23
2024-03-31,22
2024-04-07,28
2024-04-14,17
